,72703,72711,72712,72713,KFVE0
2005-09-05,0,0,0,0,0
2005-09-06,0,0,0,0,0
2005-09-07,0,0,0,0,0
2005-09-08,10.149999618530273,13.979999542236328,10.930000305175781,12.65999984741211,6.730000019073486
2005-09-09,8.649999618530273,0,2.8399999141693115,7.389999866485596,0
2005-09-10,0,0,0,0,0
2005-09-11,0,0,0,0,0.46000000834465027
2005-09-12,0,0,0,0,0
2005-09-13,0,0,0,0,0
2005-09-14,0,0,0,0,0
2005-09-15,3.2300000190734863,2.2100000381469727,3.2899999618530273,3.2300000190734863,0
2005-09-16,2.380000114440918,9.5600004196167,5.53000020980835,0,3.2899999618530273
2005-09-17,38.34000015258789,14.069999694824219,14.760000228881836,18.8799991607666,6.190000057220459
2005-09-18,2.809999942779541,3.1600000858306885,6.920000076293945,7.119999885559082,2.0999999046325684
2005-09-19,0,0,0,0,0
2005-09-20,1.1100000143051147,5.400000095367432,4.369999885559082,2.200000047683716,8.989999771118164
2005-09-21,0,0,1.059999942779541,0,2.7200000286102295
2005-09-22,1.940000057220459,6.070000171661377,3.809999942779541,2.259999990463257,8.020000457763672
2005-09-23,4.889999866485596,3.3299999237060547,3.0899999141693115,4.050000190734863,2.5299999713897705
2005-09-24,0,0,0,0,0
2005-09-25,0,17.670000076293945,6.269999980926514,4.760000228881836,10.90999984741211
2005-09-26,19.6200008392334,40.59000015258789,41.09000015258789,32.470001220703125,51.11000061035156
2005-09-27,6.329999923706055,0,3.049999952316284,4.309999942779541,5.340000152587891
2005-09-28,0,0,0,0,0
2005-09-29,9.380000114440918,15.739999771118164,16.90999984741211,13.34000015258789,16.030000686645508
2005-09-30,0,0,0,0,0
2005-10-01,0,0,0,0,0
2005-10-02,0,0,0,0,0
2005-10-03,0,0,0,0,0
2005-10-04,0,0,0,0,0
2005-10-05,0,0,0,0,0
2005-10-06,0,24.700000762939453,0,0,0
2005-10-07,21.809999465942383,35.06999969482422,38.22999954223633,38.099998474121094,26.18000030517578
2005-10-08,35.29999923706055,6.239999771118164,18.100000381469727,25.139999389648438,5.059999942779541
2005-10-09,17.450000762939453,2.490000009536743,2.9700000286102295,4.809999942779541,0
2005-10-10,6.96999979019165,3.130000114440918,3.390000104904175,3.950000047683716,3
2005-10-11,0,0,0,0,0
2005-10-12,0,0,0,0,0
2005-10-13,0,0,0,0,0
2005-10-14,0,7.800000190734863,0,0,0
2005-10-15,26.229999542236328,66.36000061035156,33.36000061035156,31.84000015258789,41.380001068115234
