id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KRHV0,San Jose / Alum Rock,US,CA,,KRHV,37.3329,-121.8198,41.0,America/Los_Angeles,2006-01-01,2025-02-06,,,,
KRNM0,Ramona / Rosemont,US,CA,,KRNM,33.0392,-116.9153,425.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KSBD0,San Bernardino / North Norton,US,CA,,KSBD,34.0954,-117.2349,353.0,America/Los_Angeles,1943-01-06,2025-02-06,1943-03-17,2022-04-24,1943-01-01,2022-01-01
KSBP0,San Luis Obispo / Steele (Historical),US,CA,,KSBP,35.2373,-120.6426,65.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KSDM0,San Diego / Bandini,US,CA,,KSDM,32.5723,-116.9802,160.0,America/Tijuana,2006-01-01,2025-02-05,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KSEE0,San Diego / Town And Country Mobile Home Park,US,CA,,KSEE,32.8262,-116.9724,118.0,America/Los_Angeles,2006-01-02,2025-02-06,2013-10-23,2022-04-24,2014-01-01,2022-01-01
KSIY0,Montague / Snowden,US,CA,,KSIY,41.7814,-122.4681,808.0,America/Los_Angeles,1950-01-01,2025-02-06,1950-01-02,2022-04-24,1950-01-01,2021-01-01
KSJC0,San Jose / Santa Clara Trailer Village,US,CA,,KSJC,37.3627,-121.9291,19.0,America/Los_Angeles,1973-01-01,2025-02-06,1973-01-01,2022-04-24,2000-01-01,2022-01-01
KSLI0,Los Alamitos,US,CA,,KSLI,33.79,-118.0514,10.0,America/Los_Angeles,2006-01-01,2025-02-06,2008-04-24,2022-04-24,2008-01-01,2021-01-01
KSMF0,Sacramento / Kiesel,US,CA,,KSMF,38.6954,-121.5908,8.0,America/Los_Angeles,1973-01-01,2025-02-06,1973-01-01,2022-04-24,1974-01-01,2022-01-01
KSNA0,Santa Ana / Paularino,US,CA,,KSNA,33.6757,-117.8682,17.0,America/Los_Angeles,1940-06-17,2025-02-06,1942-10-06,2022-04-24,1943-01-01,2021-01-01
KSQL0,San Carlos / Silver Penny Mobile Home Park,US,CA,,KSQL,37.5119,-122.2495,2.0,America/Los_Angeles,2006-01-01,2025-02-06,2019-03-04,2022-04-24,2020-01-01,2022-01-01
KSTS0,Santa Rosa / Shiloh,US,CA,,KSTS,38.509,-122.8129,39.0,America/Los_Angeles,2000-01-01,2025-02-06,2000-01-02,2022-04-24,2000-01-01,2022-01-01
KSZN0,Santa Cruz / Isla Vista,US,CA,,KSZN,34.0606,-119.9151,15.0,America/Los_Angeles,1973-01-03,1980-06-17,1976-03-15,1979-09-30,,
KTOA0,Torrance / Walteria,US,CA,,KTOA,33.8034,-118.3396,31.0,America/Los_Angeles,1944-06-01,2025-02-06,1944-06-02,1944-08-29,1944-01-01,1944-01-01
KTRK0,Truckee / Polaris,US,CA,,KTRK,39.32,-120.1396,1799.0,America/Los_Angeles,2006-01-01,2025-02-06,2009-04-21,2022-04-24,2020-01-01,2022-01-01
KTRM0,Thermal,US,CA,,KTRM,33.6267,-116.1597,-35.0,America/Los_Angeles,1943-07-12,2025-02-06,1943-07-13,2022-04-24,1943-01-01,2022-01-01
KTVL0,South Lake Tahoe / Tahoe Valley,US,CA,,KTVL,38.8939,-119.9953,1911.0,America/Los_Angeles,2000-01-02,2025-02-06,2000-10-19,2022-04-24,2001-01-01,2021-01-01
KUKI0,Ukiah / Asylum,US,CA,,KUKI,39.126,-123.2009,188.0,America/Los_Angeles,1973-01-01,2025-02-06,1973-01-01,2022-04-24,2005-01-01,2022-01-01
KVIS0,Visalia / Midvalley,US,CA,,KVIS,36.3187,-119.3929,90.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-18,2022-04-24,2006-01-01,2022-01-01
KVNY0,Van Nuys / Raymer,US,CA,,KVNY,34.2098,-118.49,245.0,America/Los_Angeles,1942-12-11,2025-02-06,1942-12-12,2022-04-24,1943-01-01,2022-01-01
KWHP0,Los Angeles / Pacoima,US,CA,,KWHP,34.2593,-118.4134,306.0,America/Los_Angeles,2006-01-01,2025-02-06,,,,
KWJF0,Lancaster / Antelope Acres,US,CA,,KWJF,34.7411,-118.2186,717.0,America/Los_Angeles,1974-06-01,2025-02-06,1974-06-03,2022-04-24,1975-01-01,2022-01-01
KWVI0,Watsonville / Monterey Vista Mobile Home Park,US,CA,,KWVI,36.9357,-121.7896,50.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
LQO8Z,Mount Shasta,US,CA,,KMHS,41.3149,-122.317,1080.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-24,2022-04-24,,
M44D9,Monterey Regional Airport,US,CA,,KMRY,36.5905,-121.8487,77.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-24,2022-04-24,,
NG9G1,Tehachapi Municipal Airport,US,CA,,KTSP,35.135,-118.4392,1220.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-23,2022-04-24,,
Q5MJ7,Tracy Municipal Airport,US,CA,,KTCY,37.6889,-121.4416,58.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-23,2022-04-24,,
QX6JS,Lompoc Airport,US,CA,,KLPC,34.6667,-120.4667,27.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-24,2022-04-24,,
U9ANI,Julian CDF,US,CA,,,33.0833,-116.63,1285.0,America/Los_Angeles,,,1893-01-01,2024-11-30,1893-01-01,2022-01-01
ZGK9P,Victorville Airport,US,CA,,KVCV,34.5972,-117.3828,876.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-23,2022-04-23,,
