station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
72383,45,289.3377777777778,337.90821295323383,48.570435175456076,90.32284386551677,132.44207932412954,0.39625204406056336,0.1678675890459074,0.4577420907194843,0.39625204406056336,0.698436695814145,16.78675890459074
72290,45,253.8577777777778,268.8578290542869,15.000051276509101,37.81130691456009,47.5171195667551,0.7614222616637609,0.059088405357585125,0.18718008162960706,0.7614222616637609,0.9214250651887562,5.908840535758512
KSBP0,19,206.22105263157894,394.1114004741621,187.8903478425831,220.77737175635474,263.8479344209562,-0.5818844682918449,0.9111113799727117,1.279442283190794,-0.5818844682918449,0.5362864539290859,91.11113799727119
U9ANI,31,576.1032258064516,326.9131145005451,-249.19011130590653,264.1268056326101,298.83613528459466,-0.5392480588223867,-0.4325442041347374,0.5187197743360528,-0.5392480588223867,0.7914711329214015,-43.25442041347374
KCNO0,19,116.84210526315789,422.0034285047584,305.1613232416004,305.1613232416004,335.1907299996261,-3.617978616222995,2.6117410547704543,2.868749490987791,-3.617978616222995,0.6876247034582239,261.17410547704543
72391,42,256.67380952380955,414.2313584422157,157.55754891840618,157.90630319238537,204.41777762813504,-0.15771638216489547,0.6138434973584278,0.7964107362857871,-0.15771638216489547,0.7821609094437688,61.38434973584278
KTVL0,19,245.48947368421054,980.4858406384944,734.996366954284,734.996366954284,808.6720476071148,-5.972606348586932,2.994003595851767,3.2941210695142207,-5.972606348586932,0.278600077390167,299.40035958517666
72483,45,457.6644444444445,606.3867912823201,148.7223468378757,148.7223468378757,170.1440073930609,-0.23203074539562096,0.32495936410006393,0.3717658416737998,-0.23203074539562096,0.9288274719897355,32.49593641000639
72295,45,314.1977777777778,302.0081756314544,-12.189602146323386,37.91626113725418,51.18069970669453,0.8991006288605876,-0.03879595276751037,0.1628932580894733,0.8991006288605876,0.9512602445391131,-3.8795952767510373
KAPC0,20,272.71500000000003,552.1017989365389,279.38679893653887,292.02395459897105,351.2468594638589,-2.2350883645522077,1.0244643636636739,1.2879631097074193,-2.2350883645522077,0.47513909607892485,102.4464363663674
KMOD0,20,153.595,426.0422168521215,272.4472168521214,272.4472168521214,320.80160183040755,-4.436484625910445,1.7738026423524296,2.0886200841850813,-4.436484625910445,0.2878514497206224,177.38026423524298
KUKI0,20,466.16999999999996,927.9057348368694,461.7357348368693,461.7357348368693,525.9850437435376,-2.2301689164326053,0.9904878796080171,1.128311653996477,-2.2301689164326053,0.6720624010478218,99.04878796080172
72480,45,131.80222222222224,389.01011557720517,257.20789335498296,257.20789335498296,266.4081153487444,-13.838245587688801,1.9514685641743068,2.021271802986545,-13.838245587688801,0.8885103404652951,195.1468564174307
